"strategy","time","strategy_value_index","growth_rate","regime_shift","shock"
"Aggressive Growth Strategy",1,106.367372496705,6.36737249670493,-2.8,6.88804755136779
"Aggressive Growth Strategy",2,112.860940403006,6.10484940436219,1,2.84788172232468
"Aggressive Growth Strategy",3,119.363566397175,5.76162662737812,1,2.61092844384066
"Aggressive Growth Strategy",4,129.493776540236,8.48685277160196,-2.8,9.08290671244669
"Aggressive Growth Strategy",5,122.416093400426,-5.46565505224194,-2.8,-4.88759659223638
"Aggressive Growth Strategy",6,124.84353803464,1.9829456787795,1,-1.25454945067817
"Aggressive Growth Strategy",7,131.000751217889,4.93194383960852,-1.2,3.96806052088441
"Aggressive Growth Strategy",8,122.363525959326,-6.59326391510349,2.1,-10.9821011785898
"Aggressive Growth Strategy",9,125.48139564354,2.54803844509223,1,-0.727643914231606
"Aggressive Growth Strategy",10,131.714618075788,4.9674474851676,-2.8,5.4660361462767
"Aggressive Growth Strategy",11,133.575983412976,1.41318052952691,1,-1.77351527885487
"Aggressive Growth Strategy",12,137.622603368146,3.02945174108117,-1.2,2.07043809674072
"Aggressive Growth Strategy",13,152.185586054373,10.5818247365009,-1.2,9.52090025956629
"Aggressive Growth Strategy",14,151.361173057513,-0.541715558112148,0,-2.74016868933245
"Aggressive Growth Strategy",15,147.277701425213,-2.69783297117258,0,-4.85176216064877
"Aggressive Growth Strategy",16,132.651374455493,-9.93112115967369,-1.2,-10.8639344247598
"Aggressive Growth Strategy",17,128.076040867978,-3.4491414855641,-1.2,-4.51397049444603
"Aggressive Growth Strategy",18,125.038037502639,-2.37203097843251,-1.2,-3.27017172184459
"Aggressive Growth Strategy",19,106.806813406765,-14.5805424173342,-1.2,-15.7180788250619
"Aggressive Growth Strategy",20,105.865941312591,-0.880910181816362,-1.2,-1.94150791176005
"Aggressive Growth Strategy",21,103.244410304391,-2.47627421595355,-1.2,-3.51822811798857
"Aggressive Growth Strategy",22,105.546556357422,2.22980212317929,-2.8,2.89304687572792
"Aggressive Growth Strategy",23,111.259569807712,5.41279000230304,-1.2,4.41628772010732
"Aggressive Growth Strategy",24,99.9081235912092,-10.2026695196836,1,-13.4689053741882
"Aggressive Growth Strategy",25,102.136366830127,2.23029235143596,1,-1.01660176413684
"Aggressive Growth Strategy",26,111.82122272811,9.48227962141154,1,6.29881572281705
"Aggressive Growth Strategy",27,112.613331616306,0.708370798378085,-2.8,1.18057376034448
"Aggressive Growth Strategy",28,118.478454466438,5.20819583787479,-1.2,4.14327855730791
"Aggressive Growth Strategy",29,113.701584908701,-4.03184661654275,0,-6.31482679994297
"Aggressive Growth Strategy",30,113.613883770858,-0.0771327311870324,2.1,-4.29085510997555
"Aggressive Growth Strategy",31,112.423934750448,-1.04736233012646,-1.2,-2.0533647119616
"Aggressive Growth Strategy",32,112.731591988034,0.273658130066599,2.1,-3.98599333834356
"Aggressive Growth Strategy",33,112.643081935621,-0.0785139736360068,-2.8,0.571093893021891
"Aggressive Growth Strategy",34,114.381087330778,1.54293132369287,0,-0.544034418925902
"Aggressive Growth Strategy",35,114.362799290254,-0.0159886926689858,-1.2,-1.00229374107418
"Aggressive Growth Strategy",36,121.785762056824,6.490714474145,0,4.20005847857022
"Aggressive Growth Strategy",37,127.029288042563,4.30553284487659,-2.8,4.9149486379276
"Aggressive Growth Strategy",38,136.130023635273,7.16428135034491,-1.2,6.259997053755
