"strategy","time","strategy_value_index","growth_rate","regime_shift","structural_shock"
"Balanced Adaptive Strategy",14,154.99806650343,6.75843912129336,0,3.03180203712591
"Balanced Adaptive Strategy",15,162.612598681597,4.91266268666505,0,2.13404800275012
"Balanced Adaptive Strategy",16,166.893615878846,2.63264792024638,1,-1.26826986752901
"Balanced Adaptive Strategy",17,166.958861546857,0.0390941664644125,1,-4.4439306089587
"Balanced Adaptive Strategy",18,171.073550029579,2.46449241723391,0,-0.079501173538243
"Balanced Adaptive Strategy",19,182.088079141668,6.43847579604504,2,1.66856122721476
"Balanced Adaptive Strategy",20,189.725251433908,4.19421871450345,0,1.88152895669068
"Balanced Adaptive Strategy",21,196.609554507259,3.6285644748502,1,-0.376363018111085
"Balanced Adaptive Strategy",22,195.502631852528,-0.563005525090308,-2.5,-0.738843393710018
"Balanced Adaptive Strategy",23,210.866785496024,7.85879632305194,0,5.50851346816708
"Balanced Adaptive Strategy",24,210.47815996475,-0.184299073161257,-2.5,-1.44042929086618
"Balanced Adaptive Strategy",25,216.886061637526,3.04444968249897,1,-0.727618797754254
"Balanced Adaptive Strategy",26,216.729707367505,-0.0720905109535045,-2.5,-0.979393722195465
"Balanced Adaptive Strategy",27,201.244248420053,-7.14505599419003,-2.5,-7.62236249905428
"Balanced Adaptive Strategy",28,210.281275948015,4.49057679854766,1,0.229224758431916
"Balanced Adaptive Strategy",29,210.217324295258,-0.0304124332840763,1,-3.60482777588695
"Balanced Adaptive Strategy",30,227.368694555094,8.15887573364103,0,4.56153908754611
"Balanced Adaptive Strategy",31,237.035781583332,4.25172297670718,1,0.519831268929203
"Balanced Adaptive Strategy",32,249.5632676307,5.28506116827094,1,1.30462343229987
"Balanced Adaptive Strategy",33,258.834891589749,3.71513967062211,-1,1.05868666273406
"Balanced Adaptive Strategy",34,265.421797530077,2.54482921520794,-1,0.795566717242692
"Balanced Adaptive Strategy",35,269.126024740725,1.3956002276824,0,-1.2474508853196
"Balanced Adaptive Strategy",36,263.455808478155,-2.10690001757825,-2.5,-2.25802780056382
"Balanced Adaptive Strategy",37,267.643145455004,1.58938874835864,-1,-0.202601683169897
"Balanced Adaptive Strategy",38,269.990064792616,0.876883782553785,2,-3.49380665680829
"Balanced Adaptive Strategy",39,283.401006417698,4.96719819500884,2,0.167888370042942
"Balanced Adaptive Strategy",40,308.127610841432,8.72495293375578,1,4.90111680461567
"Defensive Resilience Strategy",1,102.898543936734,2.8985439367337,0,0.0630660808902093
"Defensive Resilience Strategy",2,109.106553403724,6.03313635886597,0,3.91312456036868
"Defensive Resilience Strategy",3,112.252569290088,2.88343439346177,0,0.391155193536516
"Defensive Resilience Strategy",4,113.293540346222,0.927347198124246,0,-1.22691307397073
"Defensive Resilience Strategy",5,116.493249471002,2.82426439760069,0,-0.0821474769916141
